NO,프로젝트 정보,,,,,,,,,행사 정보,,,
,PM 프로필,,프로젝트명,연도,행사시작일,행사종료일,발주처,행사분류,산업분류,주최기관,주관기관,사업개요,연관어
,PM 사업부,PM 부서명,,,,,,행사분류,산업분류,,,,
1,공간 사업부,놀이터사업팀,서울형 키즈카페 상계2동점 놀이공간 설계 및 제작설치,2025,2025-08-14,2026-01-31,노원구,공간사업(놀이터),건설/건축/인테리어,노원구,노원구,,
2,공간 사업부,놀이터사업팀,서울형 키즈카페 창3동점 바닥쿠션매트 제작 설치,2025,2025-10-30,2025-12-12,도봉구,공간사업(놀이터),건설/건축/인테리어,도봉구,도봉구,,
3,E&E 사업부,전시 2팀,2025 대한민국 정부 박람회,2025,2025-12-03,2025-12-05,행정안전부(MOIS),"기타회의, 전시, 전시홍보관, 이벤트",정책/행정/국방/소방/안전,행정안전부(MOIS),행정안전부(MOIS),,#정부혁신 #공식행사 #전시 #부대행사 #박람회 #행정안전부
4,컨벤션 사업부,컨벤션 3팀,2025 세계도핑방지기구 총회,2025,2025-12-01,2025-12-05,부산광역시,국제회의,관광/레저/스포츠,세계도핑방지기구(WADA),"한국도핑방지위원회(KADA), 부산광역시","세계도핑방지기구(WADA) 총회는 6년 주기로 개최되는 도핑방지 분야 최대 규모이자 최고  권위의 국제회의로, 국제 반도핑 정책의 방향을 결정하는 글로벌 스포츠 거버넌스의 핵심 회의",#반도핑 #도핑 #스포츠 #총회 #국제회의 
5,MICE Tech 사업 본부,MICE Tech 사업 본부,2025 경상북도 투자대회 운영용역,2025,"2025-08-29, 2025-08-29","2025-11-29, 2025-11-29",(재)경상북도경제진흥원,비즈니스 행사,인문/사회/경제/역사/법/남북,"경상북도, 경주시",(재)경상북도경제진흥원,,
6,공간 사업부,놀이터사업팀,은평아이맘놀이터 응암1동점 누수관련 바닥쿠션 재공사,2025,2025-10-13,2025-11-28,은평구,공간사업(놀이터),기타,은평구,은평구,,
7,E&E 사업부,이벤트&엑스포 1팀,2025 콘텐츠IP 마켓,2025,2025-11-25,2025-11-27,한국콘텐츠진흥원(KOCCA),"비즈니스 행사, 전시",문화/예술/디자인/콘텐츠/영상/광고,문화체육관광부(MCST),한국콘텐츠진흥원(KOCCA),,
8,E&E 사업부,이벤트&엑스포 2팀,2025년 전통시장 온누리상품권 환급행사 (수산물),2025,"2025-01-23, 2025-03-26, 2025-05-09, 2025-08-01, 2025-09-26, 2025-11-19","2025-01-27, 2025-04-01, 2025-05-13, 2025-08-05, 2025-10-05, 2025-11-23",한국수산회,프로모션,농수축산/식음료,해양수산부(MOF),한국수산회,‘2025년 수산물 상생할인 지원 사업’의 일환으로 전통시장 활성화를 위해 국내산 수산물 소비자에게 온누리상품권 환급 행사 추진,#수산물 #환급행사 #정책프로모션 
9,E&E 사업부,이벤트&엑스포 2팀,2025 고향 사랑의 날 기념식 ,2025,"2025-11-19, 2025-09-04","2025-11-21, 2025-09-04",행정안전부(MOIS),"전시홍보관, 이벤트",정책/행정/국방/소방/안전,행정안전부(MOIS),행정안전부(MOIS),"제3회 고향사랑의 날을 맞이하여, 9월 4일 공식 기념식 및 11월 19일 ~ 23일 3일 간, 고향사랑기부제에 대한 각 지자체의 고향사랑기부 정책 및 답례품 홍보의 장 마련 ",#고향사랑기부제 #고향사랑 #행안부 
10,E&E 사업부,전시 1팀,UNFCCC COP30 한국홍보관,2025,2025-11-10,2025-11-21,한국환경산업기술원(KEITI),"전시, 전시홍보관",에너지/환경,환경부(ME),한국환경산업기술원(KEITI),,
11,공간 사업부,놀이터사업팀,강릉주문진 문화교육센터 2층 리모델링 실시설계용역 (놀이시설),2025,2025-08-20,2025-11-18,앤탑건축사무소,공간사업(놀이터),건설/건축/인테리어,앤탑건축사무소,앤탑건축사무소,,
12,컨벤션 사업부,컨벤션 2팀,2025년 APEC 경제행사 대행 용역,2025,2025-10-29,2025-11-02,경상북도,"국제회의, 비즈니스 행사",기타,경상북도,경상북도,"특별만찬, K-비즈니스 라운지 내 경북도 MOU 운영 및 관광프로그램 운영 ",#APEC #APECCEOSUMMIT #경제 
13,E&E 사업부,이벤트&엑스포 2팀,2025년 수산물 직거래 · 유통 상생 대축제 운영 ,2025,2025-10-31,2025-11-02,한국수산회,"비즈니스 행사, 이벤트",농수축산/식음료,해양수산부(MOF),한국수산회,"2025년 대한민국 수산대전의 일환으로, 생산자 직거래(B2C)에서 유통 바이어(B2B)까지 확장하여 지속 가능한 상생형 유통모델을 마련",#수산물 #수산물판매촉진 #지속가능한상생유통모델 #직거래장터
14,컨벤션 사업부,컨벤션 2팀,APEC 정상회의 주간 3개국 양자 방한 경주 행사장 조성 용역,2025,"2025-10-29, 2025-10-29, 2025-10-29","2025-11-01, 2025-11-01, 2025-10-29",외교부(MOFA),국제회의,정책/행정/국방/소방/안전,외교부(MOFA),외교부(MOFA),"3개국 방한 환영식 및 양자회담, 영부인 친교행사, 환영만찬 등",#APEC #양자회담 #환영식 #오찬회담 #한미회담 #한중회담 #한캐회담
15,컨벤션 사업부,컨벤션 1팀,한화 퓨처 테크 포럼,2025,2025-10-27,2025-10-27,㈜제일기획,기업회의,정책/행정/국방/소방/안전,"대한상공회의소(KCCI), 산업통상자원부(MOTIE)",한화에어로스페이스,"K-방산 및 평화를 위한 첨단 기술의 방향을 제시한 포럼. 주요프로그램: 개회식, 기조연설, 패널토론, 환영만찬 ",#방산
16,컨벤션 사업부,컨벤션 4팀,2025 세계올림픽도시연맹 총회,2025,2025-10-22,2025-10-25,2018평창기념재단,국제회의,관광/레저/스포츠,평창군,2018평창기념재단,"올림픽 도시대표단과 IOC, 국제스포츠 전문가들이 한자리에 모여, 올림픽 유산 활성화 사례를 공유하고 협력을 논의하는 국제회의",
17,공간 사업부,놀이터사업팀,로얄새들클럽하우스 실내놀이터 추가 건,2025,2025-08-27,2025-10-20,한화넥스트,공간사업(놀이터),건설/건축/인테리어,한화넥스트,한화넥스트,,
18,E&E 사업부,이벤트&엑스포 3팀,2025년 글로벌콘텐츠페스티벌 in 순천,2025,2025-10-17,2025-10-19,순천시,"비즈니스 행사, 전시, 이벤트",문화/예술/디자인/콘텐츠/영상/광고,순천시,순천시," ❍ 행 사 명 : 글로벌 콘텐츠 페스티벌 in 순천(부제:올텐가 All Content Garden)  ❍ 일    시 : 2025. 10. 17.(금) ~ 10. 19.(일) / 3일간  ❍ 장    소 : 오천그린광장, 그린아일랜드, 정원워케이션 등   ❍ 주요내용 : B2C & B2B가 융복합된 종합 문화콘텐츠 축제",#오천그린광장 #올텐가 #콘텐츠페스티벌 #지브리OST오케스트라 #로커스순천 #루미뚱이 #일러스타페스
19,MICE Tech 사업 본부,MICE Tech 사업 본부,2025 글로벌 문화콘텐츠 산업전 in 순천 비즈니스 상담 업무 추진,2025,2025-10-17,2025-10-19,㈜플라잉베어,비즈니스 행사,문화/예술/디자인/콘텐츠/영상/광고,순천시,순천시,,
20,E&E 사업부,전시 2팀,2025년 추석맞이 농축산물 할인지원 전통시장 환급행사,2025,2025-10-01,2025-10-05,한국농수산식품유통공사(aT),프로모션,농수축산/식음료,한국농수산식품유통공사(aT),한국농수산식품유통공사(aT),목적: 전통시장에서 농축산물 할인지원사업 이용이 어려운 고령층 등에게 사업혜택 제공을 위해 국산 농축산물 구매자 대상 현장 환급 할인행사 추진 / 지원내용: 참여시장 내 지정점포에서 국내산 신선 농축산물 구매금액의 최대 30% 를 온누리상품권(지류)로 환급(기간 중 최대 2만원 환급) / 대상 품목: 국내산 신선 농축산물 전품목,#농축산물 #환급행사 #농축산 #국내산 #온누리상품권 #전통시장
