행사분류,행사구분,행사분야,행사명,행사명(서브타이틀),행사 시작일자,행사 종료일자,행사 장소,주최,주관,관련 사이트
Exhibition,일반 전시,예술/디자인,하이브 아트페어,HIVE ART FAIR,2026.05.21,2026.05.24,1F 전시장,디엑세스,디엑세스,http://www.hiveartfair.com
Convention,국내 회의,섬유/의류/패션,아이티웨딩&amp;혼수박람회,IT WEDDING FAIR,2026.05.23,2026.05.24,B2 스퀘어볼룸,㈜아이티앤코,"ITNCO Co., Ltd.",https://ilsan1.dirwedexpo.co.kr/
Exhibition,일반 전시,생활용품/라이프스타일/판촉선물,2026 내추럴 위크,Natural Week,2026.05.28,2026.05.31,1F 전시장,(주)메세코리아,(주)메세코리아,http://www.nweek.co.kr
Convention,국내 회의,환경/에너지,2026 (사)환경독성보건학회 춘계학술대회,기후위기와 원헬스: 생태-인체 연계 위해성의 재조명,2026.06.04,2026.06.05,,(사)환경독성보건학회,(사)환경독성보건학회,http://koseht.org
Exhibition,일반 전시,교육/출판,2026 맘스홀릭베이비페어 마곡,2026 MOMSHOLICBABY FAIR MAGOK,2026.06.11,2026.06.14,1F 전시장,주식회사 엠씨커뮤니케이션즈,맘스홀릭베이비,https://momsholic-babyfair.com/
Exhibition,일반 전시,관광/오락,2026 케이펫페어 마곡,K-PET FAIR MAGOK 2026,2026.06.19,2026.06.21,1F 전시장,㈜한국펫사료협회,주식회사 메쎄이상,http://k-pet.co.kr/
Exhibition,일반 전시,전기/전자/IT,2026 일잘러 페스타,Skill-up Festa 2026,2026.07.02,2026.07.04,1F 전시장,"주식회사 더피엠디, 기고만장","주식회사 더피엠디, 기고만장",http://www.skillupfesta.com
Exhibition,일반 전시,섬유/의류/패션,2026 서울 국제 주얼리 &amp; 액세서리 쇼 (THE MOST Valuables),"Seoul Int'l Jewelry, Gem &amp; Accessories Show",2026.08.14,2026.08.16,1F 전시장,THE MOST Valuables 조직위원회,(주)엑스포럼,https://www.themostshow.kr/main
Exhibition,일반 전시,생활용품/라이프스타일/판촉선물,K-일러스트레이션페어 마곡 2026,K-Illustration Fair Magok 2026,2026.08.20,2026.08.23,1F 전시장,㈜한국국제전시,,https://k-illustrationfair.com/magok
Exhibition,주최 전시,건설/건축/인테리어,마곡리빙디자인페어,Magok Living Design Fair,2026.09.10,2026.09.13,1F 전시장,"㈜디자인하우스, 코엑스",행복이 가득한 집,https://magoklivingdesignfair.kr/fairDash.do?hl=KO
Exhibition,일반 전시,기타,ISSA SHOW ASIA 2026,ISSA SHOW ASIA 2026,2026.09.16,2026.09.18,1F 전시장,"ISSA, ㈜메쎄이상",,https://issashowasia.com/kor/
Exhibition,일반 전시,농수산/식음료,2026 서울국제주류&amp;와인박람회 '마곡',Seoul Internationl Wines &amp; Spirits Expo MAGOK 2026,2026.10.01,2026.10.03,1F 전시장,㈜한국국제전시,㈜한국국제전시,https://magok.siwse.com/
Exhibition,일반 전시,건설/건축/인테리어,제13회 동아 건축·인테리어 박람회,The13rd Dong-A Construction · Intreior EXPO,2026.10.08,2026.10.11,1F 전시장,(주)동아전람,,https://www.dong-afairs.co.kr
Exhibition,일반 전시,의료/건강/스포츠,2026 대한당뇨병학회 국제학술대회,2026 International Congress of Diabetes and Metabolism,2026.10.15,2026.10.17,1F 전시장,대한당뇨병학회,대한당뇨병학회,http://www.icdm.or.kr
Exhibition,일반 전시,금융/재테크,2026 서울머니쇼 플러스,Seoul Money Show PLUS 2026,2026.10.29,2026.10.31,1F 전시장,"매일경제, MBN, 매일경제TV",매경비즈,https://seoulmoneyshow.com/main/main.php
Exhibition,일반 전시,환경/에너지,Carbon Korea 2026,Carbon Korea 2026,2026.11.04,2026.11.06,1F 전시장,산업통상부,"한국탄소산업진흥원, 한국탄소나노산업협회",http://carbonKorea.kr
Exhibition,일반 전시,관광/오락,2026 코리아 마이스 엑스포,KOREA MICE EXPO 2026 (KME2026),2026.11.17,2026.11.19,1F 전시장,(사)한국MICE협회,(사)한국MICE협회,http://koreamiceexpo.com
Exhibition,일반 전시,의료/건강/스포츠,2026 국제 안경광학산업 전시회,Korea International Optics Fair 2026,2026.11.25,2026.11.27,1F 전시장,"(주)서울메쎄, 대한안경사협회",,https://kopticsfair.com/
Exhibition,일반 전시,농수산/식음료,2026 명원세계차(茶)박람회,2026 Myung Won Wolrd tea Expo. K-Tea Festival,2026.12.03,2026.12.06,1F 전시장,명원세계차박람회조직위원회,"(재)명원문화재단, (사)한국다도총연합회, (사)홍차협회",https://www.worldteaexpokorea.com
Exhibition,일반 전시,의료/건강/스포츠,2026 코리아더마,KOREADERMA 2026,2026.12.10,2026.12.13,1F 전시장,대한피부과의사회,대한피부과의사회,https://www.koreaderma.org/home
,,,,,,,,,,
