행사분류,행사구분,행사분야,행사명,행사명(서브타이틀),행사 시작일자,행사 종료일자,행사 장소,입장료,주최,주관,담당자/공연문의 정보,단체문의 정보,예매문의 정보,관련 사이트,티켓 예약
Exhibition,일반 전시,환경/에너지,제47회 국제환경산업기술&amp;그린에너지전,The 47th International Exhibition on Environmental Technology &amp; Green Energy,2026.05.20,2026.05.22,Hall A,"5,000원 (온라인 사전등록 및 초청장 소지자는 무료)","한국환경보전원, 한국수자원공사, 한국환경공단, 한국환경산업기술원, 수도권매립지관리공사",한국환경보전원,"담당자명 : 김지은
연락처 : 02-3407-1541
팩스 : 02-3409-8351
이메일 : envex@keci.or.kr",,,https://www.envex.or.kr,
Convention,국내 회의,환경/에너지,2026 실내환경관리센터 실내공기질 분야 산업계 지원정책 포럼,,2026.05.22,2026.05.22,컨퍼런스룸(남) 4F,무료,기후에너지환경부,한국산업기술시험원 실내환경관리센터,"담당자명 : 한국산업기술시험원 실내환경관리센터
연락처 : 02-860-1633
팩스 : 
이메일 : zlxl8209@ktl.re.kr",,,https://forms.gle/WaFyv9LZCQjRDER2A,
Convention,국내 회의,교육/출판,유학네트 세계유학박람회,,2026.05.23,2026.05.23,컨퍼런스룸(남) 3F,무료,,,"담당자명 : 송원석 / Scott Song
연락처 : 010-8902-5649
팩스 : 
이메일 : wssong@eduhouse.net",,,https://www.eduhouse1.net/,
Convention,국내 회의,공연/이벤트,제주국제학교 브랭섬홀 아시아 입학평가 시험 및 입학상담,Branksome Hall Asia Admissions Assessments &amp; Admission Consultations,2026.05.23,2026.05.23,컨퍼런스룸(남) 3F,무료 (온라인 사전 신청 필수),제주국제학교 브랭섬홀 아시아 / Branksome Hall Asia,제주국제학교 브랭섬홀 아시아 / Branksome Hall Asia,"담당자명 : 
연락처 : 
팩스 : 
이메일 : admissions@branksome.asia",,,https://www.branksome.asia/,
Convention,국내 회의,공연/이벤트,제419회 웨덱스 웨딩박람회,"WEDDEX WEDDING FAIR			",2026.05.23,2026.05.24,"코엑스 3층 컨퍼런스룸 317-318호	",무료(예비 신랑&amp;신부 한함),"㈜웨덱스웨딩			","㈜웨덱스웨딩			","담당자명 : 
연락처 : 02-516-1279
팩스 : 02-516-1081
이메일 : ",,,https://www.weddex.com/html/weddinghall/index_weddingfair.php,
Exhibition,주최 전시,기타,포켓몬 스포츠데이 2026,Pokémon Sports Day 2026,2026.05.24,2026.05.25,Hall C,무료 ,포켓몬코리아,,"담당자명 : 조우래
연락처 : 
팩스 : 
이메일 : webmaster@pokemonkorea.co.kr",,,https://pokemonkorea.co.kr/MegaFesta2026,
Exhibition,주최 전시,의료/건강/스포츠,제37차 세계청각학회,37th World Congress of Audiology (WCA 2026 Seoul),2026.05.25,2026.05.27,Hall B2,,대한청각학회,,"담당자명 : 김태윤
연락처 : 02-3476-7700
팩스 : 
이메일 : info@wca2026seoul.com",,,,
Exhibition,일반 전시,의료/건강/스포츠,"2026 서울국제화장품·미용산업박람회(코스모뷰티서울), 국제건강산업박람회(헬스&amp;뷰티위크)","COSMOBEAUTY SEOUL 2026, HEALTH INDUSTRY EXPO 2026 (HEALTH &amp; BEAUTY WEEK 2026)",2026.05.27,2026.05.29,"Hall A, Hall B1","15,000원 (사전등록 시, 무료)",(주)한국국제전시,,"담당자명 : 이지영
연락처 : 02-761-2527
팩스 : 02-761-2517
이메일 : info@cosmobeautyseoul.com",,,https://www.cosmobeautyseoul.com/fairDash.do?hl=KOR,
Exhibition,주최 전시,의료/건강/스포츠,제14차 세계모발학회,14th World Congress for Hair Research,2026.05.28,2026.05.30,Hall B2,"300,000원",대한모발학회,,"담당자명 : 최경수
연락처 : 02-2038-4952
팩스 : 
이메일 : info@hair2026.org",,,https://www.hair2026.org/home,
Convention,국내 회의,전기/전자/IT,2026 스마트제조를 위한 AI 기반 리얼타임 예지보전 기술동향과 구축전략 컨퍼런스,AI@PM KOREA 2026,2026.05.29,2026.05.29,컨퍼런스룸(남) 4F,"220,000",AI@PM KOREA 조직위원회,,"담당자명 : 김일호
연락처 : 02-719-6933
팩스 : 
이메일 : info-con@infothe.com",,,https://www.info-con.org/aipm,
