KINTEX 일정,,,,,,,
,,,,,,,
번호,카테고리,행사명,행사기간,임대장소,주최기관,주관기관,홈페이지
1,이벤트,코리아보드게임즈 패밀리 파크,2026.01.16~2026.01.25,전시홀 10A,코리아보드게임즈,코리아보드게임즈,https://www.koreaboardgames.com/product/detail?prdCd=PD20250004779MPE
2,전시회,마이펫페어 2026 일산 Part1,2026.01.16~2026.01.18,전시홀 7,주식회사 마이팀페어스,,https://www.mypetfair.co.kr/
3,전시회,2026 카페디저트페어,2026.01.22~2026.01.25,전시홀 7A,유아림,,
4,,쿠키런: 킹덤 5주년 팬 페스티벌,2026.01.31~2026.02.01,"전시홀 7,전시홀 8",데브시스터즈,,
5,전시회,2026 코리아빌드위크,2026.02.04~2026.02.07,"전시홀 1,전시홀 2,전시홀 3,전시홀 4,전시홀 5",㈜메쎄이상,, https://koreabuild.co.kr/kintex/
6,,정동원 Fan concert “오늘을 건너 내일 다시 만나는 길”,2026.02.13~2026.02.13,전시홀 1,쇼플레이,,https://tickets.interpark.com/goods/26000142
7,,2025-26 임재범 40주년 전국투어 콘서트 &ndash; 일산,2026.02.21~2026.02.21,전시홀 10A,스포엔터테인먼트,,https://www.ticketlink.co.kr/product/60177
8,,2025-26 박서진 전국투어 콘서트 [MY NAME IS SEOJIN]-일산,2026.02.21~2026.02.22,전시홀 7A,"장구의신 컴퍼니, ㈜제이제이팩토리",㈜제이제이팩토리,https://www.ticketlink.co.kr/product/60943
9,,제52회 맘앤베이비엑스포,2026.02.26~2026.03.01,전시홀 7,㈜유아림,㈜유아림,www.momnbabyexpo.co.kr
10,,2025-26 엠씨더맥스 이수 콘서트,2026.02.28~2026.02.28,전시홀 2,㈜공연마루,,https://tickets.interpark.com/goods/25016414
11,,2026 서울경기 밀리언쇼 우수중소기업&농특산품박람회,2026.03.05~2026.03.09,전시홀 1A,㈜마이스좋은공간,,https://www.millionshow.kr/
12,,2026 경기국제보트쇼,2026.03.06~2026.03.08,"전시홀 3,전시홀 4,전시홀 5",주식회사 킨텍스,"킨텍스, 코트라, 한국해양레저산업협회, 한국마리나협회",www.kibs.com
13,,2026 한국국제낚시박람회,2026.03.06~2026.03.08,전시홀 2,(사)한국낚시협회,㈜광륭,www.kofish.kr
14,,2026 캠핑앤피크닉페어,2026.03.06~2026.03.08,"전시홀 7,전시홀 8",㈜가족사랑전람,,https://www.campingfair.co.kr/
15,,2026 고양 가구엑스포 & 홈앤리빙 더쇼 & 큐브 현대미술展,2026.03.12~2026.03.15,전시홀 10,주식회사 비스컨애드,코리아엑스포,koreaxpo.com
