권역,지역,컨벤션센터,엑셀,URL
수도권,서울특별시,코엑스(COEX),O,https://www.coex.co.kr/event/full-schedules/
수도권,서울특별시,SETEC,X,https://www.setec.or.kr/front/schedule/list.do?sIdx=&pageIndex=3&searchSDate=&searchEDate=&searchCondition=0&searchKeyword=
수도권,서울특별시,aT센터,X,https://www.at.or.kr/ac/event/acko311300/calendarList.action
수도권,서울특별시,코엑스 마곡 르웨스트,O,https://coexmagok.co.kr/event-schedule/list/?var_page=2&search_start_date=2026.05.22&search_end_date=2027.05.22&list_type=LIST
수도권,인천광역시,송도컨벤시아,O,https://songdoconvensia.visitincheon.or.kr/page/schedule.do
수도권,경기도,킨텍스(KINTEX),O,https://www.kintex.com/web/ko/event/clist.do
수도권,경기도,수원컨벤션센터,X,https://www.scc.or.kr/events-3/
강원권,강원특별자치도 평창군,알펜시아 컨벤션 센터,X,X
영남권,부산광역시,벡스코(BEXCO),X,https://www.bexco.co.kr/kor/CMS/EventScheduleMgr/list.do?page=1&mCode=MN214&searchID=sch005&schEvent=001%2C002&schListType=&schCalendarDate=&searchKeyword=&schStartDate=&schEndDate=
영남권,대구광역시,엑스코(EXCO),X,https://www.exco.co.kr/schedule/sub01.html
영남권,경상북도 경주시,경주화백컨벤션센터(HICO),X,https://www.hico.or.kr/
영남권,경상북도 구미시,구미코,X,https://gumico.com/event?page=0&sort=%22DEADLINE_ASC%22
영남권,경상북도 포항시,포엑스(POEX),X,X
영남권,경상남도 창원시,창원컨벤션센터(CECO),O,https://www.ceco.co.kr/bbx/board.php?bx_table=01_01
호남권,광주광역시,김대중컨벤션센터(KDJ Center),X,https://kdjcenter.gjto.or.kr/events/gallery
호남권,전북특별자치도 군산시,군산새만금컨벤션센터(GSCO),X,https://www.gsco.kr/contents.htm?vType=list&code=2_1&pType=&sWord=
충청권,대전광역시,대전컨벤션센터(DCC),O,https://www.dcckorea.or.kr/event/calendar.do?menuKey=178
충청권,세종특별자치시,정부세종컨벤션센터,X,X
충청권,충청북도 청주시,청주 오스코(OSCO),O,https://osco.or.kr/event_schedule/event_list/#top2
제주권,제주특별자치도,제주국제컨벤션센터(ICC Jeju),X,https://www.iccjeju.co.kr/schedule/01.php
