행사명,행사 기간,개최 장소,행사 홈페이지
2026 경남국제축산박람회,2026-05-27 ~ 2026-05-29,3전시장,https://www.glivestock.com/
2026 스마트팜 코리아,2026-05-27 ~ 2026-05-29,1+2전시장,https://sfkorea.kr/?main=0
「G-컬처 심포지엄 2026」,2026-05-28 ~ 2026-05-28,301+302,
진해구 가주처리분구하수관로 정비공사 설계 VE,2026-05-28 ~ 2026-05-28,,
시너지이글스 원데이 세미나,2026-05-30 ~ 2026-05-30,700A,
현대청운고등학교 입학설명회,2026-05-30 ~ 2026-05-30,607,
제9회 전국동시 지방선거 개표소(성산구),2026-05-30 ~ 2026-06-04,,
제9회 전국동시 지방선거 개표소(의창구),2026-05-30 ~ 2026-06-04,,
2026 정기총회,2026-05-31 ~ 2026-05-31,700A,
2026년 한국전지학회 춘계학술대회,2026-06-04 ~ 2026-06-05,컨벤션홀I~III,
창원맘아랑 베이비페어(상반기),2026-06-11 ~ 2026-06-14,제 2전시장,cwbabyfair.kr
2026 창원 펫.친.소,2026-06-12 ~ 2026-06-14,제 3전시장,https://jeenie.co.kr/product/detail.html?product_no=42&cate_no=56&display_group=1
경남 캠핑&레저차량 박람회(상반기),2026-06-12 ~ 2026-06-14,제 1전시장,
2026 함정기술·무기체계세미나,2026-06-18 ~ 2026-06-19,컨벤션홀 및 6층 회의실,
2026 무명전설 전국투어 콘서트 - 창원,2026-06-20 ~ 2026-06-20,"제 2,3전시장",
창원 아이파크 입주박람회,2026-07-03 ~ 2026-07-05,제 2전시장,
우수중소기업 농특산품선물박람회,2026-07-03 ~ 2026-07-07,제 1전시장,
제35회 MBC경남 결혼박람회(하반기),2026-07-04 ~ 2026-07-05,제 3전시장,www.mbcweddingfair.or.kr
경남직업교육박람회,2026-07-09 ~ 2026-07-10,제 1전시장,
경상남도교육청 대학진학박람회,2026-07-17 ~ 2026-07-18,"제 1,2,3전시장",
IOK베이베&키즈페어,2026-07-23 ~ 2026-07-25,"제 2,3전시장",
