번호,카테고리,행사명,행사기간,행사장소,주최기관,주관기관,홈페이지
53,회의,2026년 농산어촌 지역 학교복합시설 공모사업 설명회,2026-05-28 00:00 ~ 2026-05-28 00:00,"209호,210호",교육부,한국교육개발원,
54,기타행사,2026년 충북 청주지역 웨딩박람회,2026-05-30 00:00 ~ 2026-05-31 00:00,"209호,210호",(주)패밀리투어,,
55,기타행사,자살예방인식개선 행사 '지금이라는 선물',2026-05-30 00:00 ~ 2026-05-30 00:00,201호,,청주시흥덕정신건강복지센터,
56,기타행사,하우투웨딩박람회,2026-06-06 00:00 ~ 2026-06-07 00:00,"205호,206호",,,
57,회의,2026년 충청북도 품질분임조경진대회,2026-06-08 00:00 ~ 2026-06-10 00:00,"205호,206호,211호",,,
58,회의,엔잭타코리아 원데이세미나 (4회차),2026-06-09 00:00 ~ 2026-06-09 00:00,207호,,,
59,기타행사,AI활용 데이터 분석 교육,2026-06-09 00:00 ~ 2026-06-09 00:00,203호,한국보건산업진흥원,주식회사 아이티어바웃,
60,기타행사,충북대학교 약학대학 홍진태교수님 퇴임연,2026-06-11 00:00 ~ 2026-06-11 00:00,201호,충북대학교 약학대학 MRC 센터,충북대학교 약학대학 MRC 센터,
61,전시,2026 충청경향하우징페어,2026-06-11 10:00 ~ 2026-06-14 18:00,"HALL 1,HALL 2,HALL 3",(주)메쎄이상,,https://khfair.com/osco/
62,회의,2026년 범부처감염병방역체계고도화사업 감시 포럼,2026-06-12 00:00 ~ 2026-06-12 00:00,"209호,210호",,범부처방역연계감염병연구개발재단,
63,회의,유니시티 메가월드 박미주&amp;이용재 퍼스널그룹 세미나&amp;랠리,2026-06-13 00:00 ~ 2026-06-13 00:00,"201호,202호",,미주식품,
64,회의,2026년도 제2분기 전국 지부장회의,2026-06-15 00:00 ~ 2026-06-15 00:00,210호,,한국산업안전보건공단 노동조합,
65,문화행사,창립 8주년 기념 컨벤션,2026-06-16 00:00 ~ 2026-06-16 00:00,"HALL 1,HALL 2",라라코리아인터내셔날(주),,
66,회의,중대법 경영책임자 교육,2026-06-16 00:00 ~ 2026-06-16 00:00,"203호,204호,205호,206호,207호,208호,209호","고용노동부, 안전보건공단","고용노동부, 안전보건공단",
67,회의,2026년 학교회계 회계실무 교육(심화),2026-06-17 00:00 ~ 2026-06-17 00:00,210호,,한국교육학술정보원,
68,회의,2026 충청 케이팜,2026-06-18 00:00 ~ 2026-06-18 00:00,"203호,204호,205호,206호,207호,208호,210호,211호",대한민국지방신문협의회,주식회사 메쎄이상,
69,기타행사,2026 대중소기업 구매상담회,2026-06-18 00:00 ~ 2026-06-18 00:00,201호,충청북도청,충청북도기업진흥원,
70,전시,2026 케이팜,2026-06-18 00:00 ~ 2026-06-20 00:00,"HALL 1,HALL 2",,,https://kfarm.co.kr/
71,회의,2026 충청 케이팜,2026-06-19 00:00 ~ 2026-06-19 00:00,"203호,204호,205호,207호,208호,209호,210호,211호,212호",대한민국지방신문협의회,주식회사 메쎄이상,
